City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,nogent-le-rotrou,48.3333,1.0,52.65,78,77,5.61,FR,1720310366
316,narok,-1.0783,35.8601,56.03,95,90,3.65,KE,1720310368
317,campo de la cruz,10.3781,-74.8836,82.17,76,70,11.01,CO,1720310369
318,malindi,-3.2175,40.1191,77.14,78,15,15.14,KE,1720310370
319,tura,25.5198,90.2201,75.47,98,100,4.65,IN,1720310371
320,chita,52.0333,113.55,66.09,68,82,6.71,RU,1720310372
321,regina,50.4501,-104.6178,76.98,48,75,13.8,CA,1720310374
322,utrik,11.2278,169.8474,82.71,77,34,17.09,MH,1720310375
323,callao,-12.0667,-77.15,67.71,77,75,16.11,PE,1720310376
324,brezina,33.0989,1.2608,79.99,37,26,23.44,DZ,1720310377
325,dakhla,23.6848,-15.958,65.5,90,0,22.48,EH,1720310378
326,tiruppuvanam,9.8333,78.2667,80.96,69,100,5.01,IN,1720310380
327,jinchang,38.4953,102.1739,64.51,65,60,9.44,CN,1720310381
328,rutland,43.6167,-73.0162,79.9,81,14,1.77,US,1720310382
329,hun,29.1268,15.9477,77.76,54,0,9.33,LY,1720310383
330,murun-kuren,49.6342,100.1625,62.1,74,10,1.16,MN,1720310384
331,jamaame,0.0697,42.745,75.99,77,29,13.4,SO,1720310386
332,mana,5.6592,-53.7767,78.04,90,97,9.84,GF,1720310387
333,balcarce,-37.8462,-58.2552,38.82,79,83,5.86,AR,1720310388
334,mpwapwa,-6.35,36.4833,59.11,87,10,4.32,TZ,1720310389
335,jijiga,9.35,42.8,64.51,81,97,15.64,ET,1720310390
336,baiyin,36.5583,104.2081,63.37,64,99,14.81,CN,1720310392
337,mogocha,53.7333,119.7667,72.23,38,0,2.64,RU,1720310393
338,ketchikan,55.3422,-131.6461,73.87,40,0,14.97,US,1720310196
339,silver city,32.7701,-108.2803,91.36,17,0,9.22,US,1720310358
340,lubao,14.9167,120.55,82.47,83,92,3.36,PH,1720310396
341,vilhena,-12.7406,-60.1458,77.22,57,0,4.61,BR,1720310397
342,kingston,17.997,-76.7936,83.35,89,75,18.41,JM,1720310399
